,Home Team,Home Goals,Away Goals,Away Team,Date,xGD,GD,Upset Rating
711,Minnesota Wild,3,4,Toronto Maple Leafs,2022-11-25,-0.55,-1,0.45
712,Anaheim Ducks,3,5,Florida Panthers,2022-11-06,-1.55,-2,0.45
713,Toronto Maple Leafs,3,1,San Jose Sharks,2022-11-30,1.57,2,0.43
714,Colorado Avalanche,2,1,Montréal Canadiens,2022-12-21,1.43,1,0.43
715,Tampa Bay Lightning,5,3,Arizona Coyotes,2022-12-31,1.57,2,0.43
716,Boston Bruins,4,3,New York Islanders,2022-12-13,1.43,1,0.43
717,Arizona Coyotes,2,3,New York Rangers,2022-10-30,-1.42,-1,0.42
718,New Jersey Devils,2,1,Pittsburgh Penguins,2023-01-22,0.58,1,0.42
719,Nashville Predators,2,1,Anaheim Ducks,2022-11-29,1.42,1,0.42
720,Winnipeg Jets,2,1,Nashville Predators,2022-12-15,0.60,1,0.40
721,Carolina Hurricanes,3,2,Calgary Flames,2022-11-26,0.60,1,0.40
722,Calgary Flames,3,2,Vancouver Canucks,2022-12-31,0.62,1,0.38
723,New Jersey Devils,4,2,Anaheim Ducks,2022-10-18,2.37,2,0.37
724,Washington Capitals,4,3,Detroit Red Wings,2022-12-19,0.64,1,0.36
725,Winnipeg Jets,2,1,Arizona Coyotes,2023-01-15,1.36,1,0.36
726,Columbus Blue Jackets,2,3,New York Islanders,2022-11-25,-1.36,-1,0.36
727,San Jose Sharks,1,2,New York Rangers,2022-11-19,-1.36,-1,0.36
728,New York Islanders,2,1,Columbus Blue Jackets,2022-12-29,1.36,1,0.36
729,Arizona Coyotes,2,3,Winnipeg Jets,2022-10-28,-1.36,-1,0.36
730,New York Islanders,4,3,Columbus Blue Jackets,2022-11-12,1.36,1,0.36
731,Chicago Blackhawks,1,3,Winnipeg Jets,2022-12-09,-1.64,-2,0.36
732,Chicago Blackhawks,3,4,Minnesota Wild,2022-10-30,-1.36,-1,0.36
733,Washington Capitals,3,2,Philadelphia Flyers,2022-11-23,0.65,1,0.35
734,New Jersey Devils,3,2,Vegas Golden Knights,2023-01-24,0.65,1,0.35
735,San Jose Sharks,2,4,Boston Bruins,2023-01-07,-2.35,-2,0.35
736,Calgary Flames,4,3,Columbus Blue Jackets,2023-01-23,1.35,1,0.35
737,Vegas Golden Knights,1,0,Chicago Blackhawks,2022-10-13,1.35,1,0.35
738,Boston Bruins,4,3,Minnesota Wild,2022-10-22,1.34,1,0.34
739,Los Angeles Kings,3,2,San Jose Sharks,2022-12-17,0.66,1,0.34
740,New York Islanders,1,2,Dallas Stars,2023-01-10,-0.66,-1,0.34
741,Toronto Maple Leafs,5,4,Calgary Flames,2022-12-10,0.66,1,0.34
742,Los Angeles Kings,4,3,San Jose Sharks,2023-01-11,0.66,1,0.34
743,Florida Panthers,2,3,Tampa Bay Lightning,2022-10-21,-0.67,-1,0.33
744,Los Angeles Kings,8,9,Seattle Kraken,2022-11-29,-0.67,-1,0.33
745,Seattle Kraken,3,2,Los Angeles Kings,2022-11-19,0.67,1,0.33
746,San Jose Sharks,2,3,Nashville Predators,2022-10-08,-0.70,-1,0.30
747,New Jersey Devils,3,4,Boston Bruins,2022-12-23,-0.70,-1,0.30
748,Pittsburgh Penguins,5,6,Boston Bruins,2022-11-01,-1.29,-1,0.29
749,New Jersey Devils,4,2,Arizona Coyotes,2022-11-12,1.71,2,0.29
750,St. Louis Blues,4,5,Toronto Maple Leafs,2022-12-27,-1.29,-1,0.29
751,Vancouver Canucks,4,5,Vegas Golden Knights,2022-11-21,-0.71,-1,0.29
752,Montréal Canadiens,3,4,Detroit Red Wings,2023-01-26,-0.71,-1,0.29
753,Boston Bruins,2,1,Pittsburgh Penguins,2023-01-02,1.29,1,0.29
754,Minnesota Wild,4,3,Vancouver Canucks,2022-10-20,0.72,1,0.28
755,Vegas Golden Knights,5,4,St. Louis Blues,2022-12-23,0.72,1,0.28
756,Colorado Avalanche,3,2,Philadelphia Flyers,2022-12-13,0.73,1,0.27
757,Toronto Maple Leafs,3,2,Vancouver Canucks,2022-11-12,1.27,1,0.27
758,Toronto Maple Leafs,5,4,Florida Panthers,2023-01-17,0.73,1,0.27
759,Detroit Red Wings,4,5,Buffalo Sabres,2022-11-30,-0.73,-1,0.27
760,New Jersey Devils,3,2,Calgary Flames,2022-11-08,0.74,1,0.26
761,Calgary Flames,3,4,New Jersey Devils,2022-11-05,-0.74,-1,0.26
762,Nashville Predators,4,3,Arizona Coyotes,2022-11-21,0.76,1,0.24
763,Pittsburgh Penguins,5,4,Vancouver Canucks,2023-01-10,0.77,1,0.23
764,Anaheim Ducks,2,4,Tampa Bay Lightning,2022-10-26,-2.22,-2,0.22
765,Vancouver Canucks,2,3,Carolina Hurricanes,2022-10-24,-1.22,-1,0.22
766,Seattle Kraken,3,1,Columbus Blue Jackets,2023-01-28,1.78,2,0.22
767,Boston Bruins,4,3,Toronto Maple Leafs,2023-01-14,0.79,1,0.21
768,Tampa Bay Lightning,5,4,Vancouver Canucks,2023-01-12,1.21,1,0.21
769,Columbus Blue Jackets,1,3,New York Rangers,2023-01-16,-1.80,-2,0.20
770,Nashville Predators,2,3,Tampa Bay Lightning,2022-11-19,-0.81,-1,0.19
771,Dallas Stars,4,2,Montréal Canadiens,2022-12-23,1.82,2,0.18
772,Philadelphia Flyers,2,3,New Jersey Devils,2022-12-03,-1.18,-1,0.18
773,Tampa Bay Lightning,4,3,Ottawa Senators,2022-11-01,0.82,1,0.18
774,San Jose Sharks,3,4,Florida Panthers,2022-11-03,-0.83,-1,0.17
775,Boston Bruins,3,2,Carolina Hurricanes,2022-11-25,0.84,1,0.16
776,Carolina Hurricanes,5,4,Los Angeles Kings,2023-01-31,0.85,1,0.15
777,New York Islanders,2,1,Montréal Canadiens,2023-01-14,1.15,1,0.15
778,Nashville Predators,2,1,Columbus Blue Jackets,2023-01-17,1.14,1,0.14
779,Toronto Maple Leafs,2,1,Nashville Predators,2023-01-11,0.87,1,0.13
780,Nashville Predators,2,3,Dallas Stars,2022-12-27,-0.88,-1,0.12
781,New York Rangers,1,0,Philadelphia Flyers,2022-11-01,0.89,1,0.11
782,Dallas Stars,3,2,Detroit Red Wings,2022-12-10,1.11,1,0.11
783,Toronto Maple Leafs,3,2,Ottawa Senators,2022-10-15,0.89,1,0.11
784,Toronto Maple Leafs,4,3,Philadelphia Flyers,2022-12-22,1.10,1,0.10
785,Dallas Stars,4,3,Ottawa Senators,2022-12-08,0.90,1,0.10
786,Ottawa Senators,3,2,Montréal Canadiens,2022-12-14,0.91,1,0.09
787,Montréal Canadiens,4,5,Ottawa Senators,2023-01-31,-0.91,-1,0.09
788,St. Louis Blues,2,3,Colorado Avalanche,2022-12-11,-0.92,-1,0.08
789,New York Rangers,6,4,Anaheim Ducks,2022-10-17,2.08,2,0.08
790,Minnesota Wild,2,1,Arizona Coyotes,2023-01-14,1.08,1,0.08
791,Minnesota Wild,4,3,Arizona Coyotes,2022-11-27,1.08,1,0.08
792,Dallas Stars,6,4,Chicago Blackhawks,2022-11-23,1.92,2,0.08
793,Boston Bruins,3,1,St. Louis Blues,2022-11-07,2.07,2,0.07
794,Boston Bruins,3,2,Winnipeg Jets,2022-12-22,1.06,1,0.06
795,Detroit Red Wings,0,1,Carolina Hurricanes,2022-12-13,-1.04,-1,0.04
796,Philadelphia Flyers,3,4,Carolina Hurricanes,2022-10-29,-1.04,-1,0.04
797,Carolina Hurricanes,6,5,Philadelphia Flyers,2022-12-23,1.04,1,0.04
798,New Jersey Devils,4,3,Ottawa Senators,2022-11-10,0.97,1,0.03
799,Calgary Flames,3,2,Arizona Coyotes,2022-12-05,0.97,1,0.03
800,Los Angeles Kings,2,1,Chicago Blackhawks,2022-11-10,1.01,1,0.01
801,Chicago Blackhawks,1,2,Los Angeles Kings,2023-01-22,-1.01,-1,0.01
