,Home Team,Home Goals,Away Goals,Away Team,Date,xGD,GD,Upset Rating
467,Arizona Coyotes,4,3,Detroit Red Wings,2023-01-17,-0.54,1,1.54
468,Arizona Coyotes,5,4,Philadelphia Flyers,2022-12-11,-0.53,1,1.53
469,Vegas Golden Knights,2,3,Detroit Red Wings,2023-01-19,0.53,-1,1.53
470,Dallas Stars,2,0,Washington Capitals,2022-10-27,0.47,2,1.53
471,Colorado Avalanche,4,5,Los Angeles Kings,2022-12-29,0.53,-1,1.53
472,Montréal Canadiens,5,4,St. Louis Blues,2023-01-07,-0.52,1,1.52
473,Pittsburgh Penguins,2,1,Dallas Stars,2022-12-12,-0.51,1,1.51
474,Tampa Bay Lightning,4,2,Minnesota Wild,2023-01-24,0.49,2,1.51
475,Colorado Avalanche,3,1,Nashville Predators,2022-12-17,0.50,2,1.50
476,Nashville Predators,3,5,Buffalo Sabres,2023-01-14,-0.50,-2,1.50
477,Colorado Avalanche,5,3,Nashville Predators,2022-11-10,0.50,2,1.50
478,Minnesota Wild,2,1,Carolina Hurricanes,2022-11-19,-0.49,1,1.49
479,Columbus Blue Jackets,3,6,Pittsburgh Penguins,2022-10-22,-1.51,-3,1.49
480,Pittsburgh Penguins,4,1,Columbus Blue Jackets,2022-12-06,1.51,3,1.49
481,Florida Panthers,3,5,New York Rangers,2023-01-01,-0.53,-2,1.47
482,Colorado Avalanche,5,2,Chicago Blackhawks,2022-10-12,1.54,3,1.46
483,Washington Capitals,3,4,Ottawa Senators,2022-12-29,0.44,-1,1.44
484,New York Rangers,3,4,New York Islanders,2022-11-08,0.44,-1,1.44
485,Seattle Kraken,2,3,Calgary Flames,2022-12-28,0.43,-1,1.43
486,Dallas Stars,5,2,San Jose Sharks,2022-12-31,1.58,3,1.42
487,Pittsburgh Penguins,2,4,New Jersey Devils,2022-12-30,-0.58,-2,1.42
488,Washington Capitals,2,3,Nashville Predators,2023-01-06,0.42,-1,1.42
489,Tampa Bay Lightning,5,3,New York Islanders,2022-10-22,0.58,2,1.42
490,St. Louis Blues,1,0,Nashville Predators,2022-12-12,-0.42,1,1.42
491,St. Louis Blues,2,1,Ottawa Senators,2023-01-16,-0.40,1,1.40
492,Montréal Canadiens,1,4,New York Rangers,2023-01-05,-1.60,-3,1.40
493,Ottawa Senators,5,4,Pittsburgh Penguins,2023-01-18,-0.39,1,1.39
494,Calgary Flames,3,2,Winnipeg Jets,2022-11-12,-0.39,1,1.39
495,Dallas Stars,2,3,Colorado Avalanche,2022-11-21,0.38,-1,1.38
496,St. Louis Blues,3,1,Chicago Blackhawks,2022-12-29,0.62,2,1.38
497,Dallas Stars,2,3,Buffalo Sabres,2023-01-23,0.38,-1,1.38
498,Philadelphia Flyers,4,3,Florida Panthers,2022-10-27,-0.37,1,1.37
499,Buffalo Sabres,3,4,Florida Panthers,2022-10-15,0.37,-1,1.37
500,Los Angeles Kings,4,6,Winnipeg Jets,2022-10-27,-0.63,-2,1.37
501,Colorado Avalanche,4,5,Florida Panthers,2023-01-10,0.36,-1,1.36
502,Colorado Avalanche,6,3,Columbus Blue Jackets,2022-11-04,1.64,3,1.36
503,Edmonton Oilers,3,4,Calgary Flames,2022-10-15,0.35,-1,1.35
504,Los Angeles Kings,1,0,Minnesota Wild,2022-11-08,-0.35,1,1.35
505,Minnesota Wild,6,7,Los Angeles Kings,2022-10-15,0.35,-1,1.35
506,Chicago Blackhawks,5,8,Seattle Kraken,2023-01-14,-1.68,-3,1.32
507,Nashville Predators,2,1,Minnesota Wild,2022-11-15,-0.32,1,1.32
508,Ottawa Senators,1,3,New York Rangers,2022-11-30,-0.68,-2,1.32
509,Seattle Kraken,0,1,Minnesota Wild,2022-11-11,0.32,-1,1.32
510,Carolina Hurricanes,2,3,Colorado Avalanche,2022-11-17,0.31,-1,1.31
511,Los Angeles Kings,2,5,Boston Bruins,2023-01-05,-1.69,-3,1.31
512,Seattle Kraken,4,3,New Jersey Devils,2023-01-19,-0.31,1,1.31
513,Los Angeles Kings,3,5,New York Rangers,2022-11-22,-0.70,-2,1.30
514,New Jersey Devils,1,3,Boston Bruins,2022-12-28,-0.70,-2,1.30
515,Pittsburgh Penguins,3,2,New York Rangers,2022-12-20,-0.29,1,1.29
516,New York Rangers,4,3,New Jersey Devils,2022-12-12,-0.29,1,1.29
517,Winnipeg Jets,5,6,Vegas Golden Knights,2022-12-13,0.29,-1,1.29
518,Vegas Golden Knights,2,1,Winnipeg Jets,2022-10-30,-0.29,1,1.29
519,New York Islanders,5,4,Colorado Avalanche,2022-10-29,-0.28,1,1.28
520,Dallas Stars,4,5,Winnipeg Jets,2022-11-25,0.28,-1,1.28
521,Los Angeles Kings,5,3,Arizona Coyotes,2022-12-01,0.73,2,1.27
522,Arizona Coyotes,3,5,Ottawa Senators,2023-01-12,-0.74,-2,1.26
523,Anaheim Ducks,1,4,Minnesota Wild,2022-11-09,-1.74,-3,1.26
524,Tampa Bay Lightning,4,1,Montréal Canadiens,2022-12-28,1.74,3,1.26
525,Anaheim Ducks,1,4,Minnesota Wild,2022-12-21,-1.74,-3,1.26
526,Los Angeles Kings,4,3,Calgary Flames,2022-12-22,-0.25,1,1.25
527,Florida Panthers,4,6,Dallas Stars,2022-11-17,-0.75,-2,1.25
528,Ottawa Senators,2,1,New York Islanders,2023-01-25,-0.24,1,1.24
529,Minnesota Wild,2,1,Edmonton Oilers,2022-12-12,-0.24,1,1.24
