,Team,Opponent,GF,GA,Date,xGD,Performance
118,Florida Panthers,Vancouver Canucks,5,1,2022-12-01,0.54,3.47
119,Montréal Canadiens,Winnipeg Jets,4,1,2023-01-17,-1.53,3.47
120,Washington Capitals,Winnipeg Jets,5,2,2022-12-11,-0.18,3.47
121,Toronto Maple Leafs,Winnipeg Jets,4,1,2022-10-22,0.27,3.47
122,St. Louis Blues,Vancouver Canucks,5,1,2022-12-19,-0.01,3.47
123,Columbus Blue Jackets,Winnipeg Jets,4,1,2022-12-02,-1.74,3.47
124,New York Islanders,Vancouver Canucks,6,2,2023-01-03,0.63,3.47
125,Dallas Stars,Winnipeg Jets,4,1,2022-10-17,0.28,3.47
126,Minnesota Wild,Winnipeg Jets,4,1,2022-12-27,-0.28,3.47
127,Pittsburgh Penguins,Winnipeg Jets,3,0,2022-11-19,-0.23,3.47
128,Washington Capitals,Winnipeg Jets,4,1,2022-12-23,-0.18,3.47
129,Los Angeles Kings,St. Louis Blues,5,1,2022-10-31,0.38,3.46
130,Winnipeg Jets,St. Louis Blues,4,0,2022-10-24,1.02,3.46
131,San Jose Sharks,Anaheim Ducks,6,1,2022-12-09,0.72,3.46
132,Philadelphia Flyers,St. Louis Blues,5,1,2022-11-08,0.19,3.46
133,Nashville Predators,St. Louis Blues,6,2,2022-10-27,0.42,3.46
134,Nashville Predators,Anaheim Ducks,6,1,2022-12-30,1.42,3.46
135,Pittsburgh Penguins,St. Louis Blues,6,2,2022-12-03,0.79,3.46
136,Dallas Stars,Anaheim Ducks,5,0,2022-12-01,2.30,3.46
137,Buffalo Sabres,St. Louis Blues,6,2,2022-11-23,0.92,3.46
138,Seattle Kraken,Edmonton Oilers,5,2,2023-01-03,0.08,3.44
139,Los Angeles Kings,Edmonton Oilers,6,3,2023-01-09,-0.60,3.44
140,New York Islanders,Edmonton Oilers,3,0,2022-11-23,-0.34,3.44
141,New Jersey Devils,Edmonton Oilers,5,2,2022-11-21,0.39,3.44
142,Vancouver Canucks,Edmonton Oilers,5,2,2022-12-23,-0.97,3.44
143,Vegas Golden Knights,Buffalo Sabres,7,4,2022-11-10,-0.20,3.37
144,Arizona Coyotes,Colorado Avalanche,6,3,2022-12-27,-1.26,3.37
145,Ottawa Senators,Buffalo Sabres,4,1,2022-11-16,-0.52,3.37
146,Arizona Coyotes,Buffalo Sabres,4,1,2022-11-08,-1.26,3.37
147,Florida Panthers,Buffalo Sabres,4,1,2023-01-16,-0.37,3.37
148,Toronto Maple Leafs,Buffalo Sabres,5,2,2022-11-19,0.37,3.37
149,Florida Panthers,Washington Capitals,5,2,2022-11-15,-0.28,3.29
150,Tampa Bay Lightning,Washington Capitals,6,3,2022-11-13,0.39,3.29
151,Calgary Flames,Washington Capitals,5,2,2022-12-03,-0.20,3.29
152,Pittsburgh Penguins,Washington Capitals,4,1,2022-11-09,-0.05,3.29
153,Ottawa Senators,Washington Capitals,5,2,2022-10-20,-0.44,3.29
154,Boston Bruins,Washington Capitals,5,2,2022-10-12,1.24,3.29
155,Toronto Maple Leafs,Pittsburgh Penguins,5,2,2022-11-15,0.50,3.24
156,Vegas Golden Knights,Pittsburgh Penguins,5,2,2023-01-05,-0.06,3.24
157,Calgary Flames,Pittsburgh Penguins,4,1,2022-10-25,-0.16,3.24
158,Edmonton Oilers,Pittsburgh Penguins,6,3,2022-10-24,0.20,3.24
159,Toronto Maple Leafs,Pittsburgh Penguins,4,1,2022-11-26,0.50,3.24
160,Buffalo Sabres,Pittsburgh Penguins,6,3,2022-11-02,0.13,3.24
161,Winnipeg Jets,Pittsburgh Penguins,4,1,2023-01-13,0.23,3.24
162,San Jose Sharks,Minnesota Wild,5,2,2022-12-22,-1.02,3.19
163,Carolina Hurricanes,Minnesota Wild,5,2,2023-01-19,0.49,3.19
164,Colorado Avalanche,Minnesota Wild,6,3,2022-10-17,0.18,3.19
165,St. Louis Blues,Minnesota Wild,3,0,2023-01-08,-0.74,3.19
166,Edmonton Oilers,Minnesota Wild,5,2,2022-12-09,0.24,3.19
167,Dallas Stars,Minnesota Wild,4,1,2022-12-29,0.56,3.19
168,Vancouver Canucks,San Jose Sharks,6,2,2022-12-27,0.29,3.18
169,Calgary Flames,San Jose Sharks,7,3,2022-12-20,0.91,3.18
170,Arizona Coyotes,Vegas Golden Knights,4,1,2023-01-22,-1.07,3.18
171,New York Rangers,Vegas Golden Knights,4,1,2023-01-27,0.36,3.18
172,San Jose Sharks,Vegas Golden Knights,5,2,2022-11-15,-1.00,3.18
173,Boston Bruins,San Jose Sharks,4,0,2023-01-22,2.35,3.18
174,New York Islanders,Vegas Golden Knights,5,2,2022-12-17,-0.09,3.18
175,Montréal Canadiens,Arizona Coyotes,6,2,2022-10-20,-0.17,3.11
176,Pittsburgh Penguins,Arizona Coyotes,6,2,2022-10-13,1.13,3.11
177,Dallas Stars,Arizona Coyotes,4,0,2023-01-21,1.64,3.11
178,Washington Capitals,Arizona Coyotes,4,0,2023-01-19,1.18,3.11
179,Ottawa Senators,Arizona Coyotes,6,2,2022-10-22,0.74,3.11
180,Philadelphia Flyers,Arizona Coyotes,6,2,2023-01-05,0.53,3.11
181,Nashville Predators,New York Islanders,4,1,2022-12-02,-0.22,3.09
182,Buffalo Sabres,Calgary Flames,6,3,2022-10-20,0.29,3.09
183,Nashville Predators,Calgary Flames,4,1,2022-11-03,-0.21,3.09
184,Boston Bruins,New York Islanders,4,1,2023-01-18,1.43,3.09
185,Detroit Red Wings,New York Islanders,3,0,2022-11-05,-0.45,3.09
186,Tampa Bay Lightning,Calgary Flames,4,1,2022-11-17,0.59,3.09
187,New Jersey Devils,New York Islanders,4,1,2022-10-20,0.73,3.09
188,St. Louis Blues,Calgary Flames,5,2,2022-12-16,-0.63,3.09
189,Dallas Stars,New York Islanders,5,2,2022-11-19,0.66,3.09
190,Seattle Kraken,New York Islanders,4,1,2023-01-01,0.42,3.09
191,Colorado Avalanche,Calgary Flames,4,1,2023-01-18,0.29,3.09
192,Washington Capitals,Calgary Flames,3,0,2022-11-25,0.20,3.09
193,Toronto Maple Leafs,New York Islanders,5,2,2023-01-23,0.65,3.09
194,Carolina Hurricanes,New York Islanders,3,0,2022-12-10,0.59,3.09
195,Calgary Flames,New York Islanders,4,1,2023-01-06,-0.01,3.09
196,Carolina Hurricanes,New York Islanders,5,2,2023-01-21,0.59,3.09
197,St. Louis Blues,New York Islanders,7,4,2022-12-06,-0.64,3.09
198,Tampa Bay Lightning,Florida Panthers,4,1,2022-12-10,0.67,3.01
199,Winnipeg Jets,Florida Panthers,5,2,2022-12-06,0.46,3.01
200,Seattle Kraken,Florida Panthers,5,2,2022-12-11,0.51,3.01
201,San Jose Sharks,Montréal Canadiens,4,0,2022-11-29,0.24,2.94
202,New Jersey Devils,Montréal Canadiens,5,1,2022-11-15,1.89,2.94
203,Florida Panthers,Montréal Canadiens,6,2,2023-01-19,1.07,2.94
204,Seattle Kraken,Montréal Canadiens,4,0,2023-01-09,1.57,2.94
205,Tampa Bay Lightning,Montréal Canadiens,5,1,2022-12-17,1.74,2.94
206,Dallas Stars,Nashville Predators,4,1,2022-10-13,0.88,2.87
207,Edmonton Oilers,Nashville Predators,7,4,2022-11-01,0.56,2.87
208,Washington Capitals,Nashville Predators,3,0,2022-10-29,0.42,2.87
209,Detroit Red Wings,Nashville Predators,3,0,2022-11-23,-0.22,2.87
210,St. Louis Blues,Nashville Predators,5,2,2023-01-19,-0.42,2.87
211,Tampa Bay Lightning,Nashville Predators,5,2,2022-12-08,0.81,2.87
212,Edmonton Oilers,Nashville Predators,6,3,2022-12-13,0.56,2.87
213,Buffalo Sabres,Ottawa Senators,4,1,2022-10-13,0.52,2.85
214,Pittsburgh Penguins,Ottawa Senators,4,1,2023-01-20,0.39,2.85
215,Nashville Predators,Ottawa Senators,3,0,2023-01-09,0.02,2.85
216,Vegas Golden Knights,Ottawa Senators,4,1,2022-11-23,0.33,2.85
217,Los Angeles Kings,Ottawa Senators,5,2,2022-12-06,-0.01,2.85
218,Boston Bruins,Los Angeles Kings,5,2,2023-01-05,1.69,2.84
219,New Jersey Devils,Los Angeles Kings,5,2,2023-01-14,0.99,2.84
220,Seattle Kraken,Los Angeles Kings,4,1,2022-10-13,0.67,2.84
221,Tampa Bay Lightning,Los Angeles Kings,5,2,2023-01-28,0.84,2.84
222,Dallas Stars,Los Angeles Kings,5,2,2022-11-01,0.92,2.84
223,Vancouver Canucks,Los Angeles Kings,4,1,2022-11-18,-0.37,2.84
224,Boston Bruins,New Jersey Devils,3,1,2022-12-28,0.70,2.83
225,St. Louis Blues,New Jersey Devils,5,3,2023-01-05,-1.37,2.83
226,Nashville Predators,New Jersey Devils,6,4,2023-01-26,-0.95,2.83
227,Washington Capitals,Chicago Blackhawks,7,3,2022-12-13,1.46,2.83
228,Florida Panthers,New Jersey Devils,4,2,2022-12-17,-0.82,2.83
229,New York Islanders,New Jersey Devils,6,4,2022-12-09,-0.73,2.83
230,Winnipeg Jets,Chicago Blackhawks,4,0,2022-11-05,1.64,2.83
231,Edmonton Oilers,Chicago Blackhawks,7,3,2023-01-28,1.60,2.83
232,Anaheim Ducks,Dallas Stars,2,0,2023-01-04,-2.30,2.76
233,Boston Bruins,Dallas Stars,3,1,2022-10-25,0.77,2.76
234,Ottawa Senators,Dallas Stars,4,2,2022-10-24,-0.90,2.76
235,San Jose Sharks,Dallas Stars,5,3,2023-01-18,-1.58,2.76
236,Pittsburgh Penguins,Toronto Maple Leafs,4,2,2022-11-11,-0.50,2.74
237,Arizona Coyotes,Toronto Maple Leafs,4,2,2022-10-17,-1.63,2.74
238,Vegas Golden Knights,Toronto Maple Leafs,3,1,2022-10-24,-0.56,2.74
239,New York Rangers,Toronto Maple Leafs,3,1,2022-12-15,-0.21,2.74
240,Los Angeles Kings,Toronto Maple Leafs,4,2,2022-10-29,-0.90,2.74
241,Florida Panthers,Columbus Blue Jackets,4,0,2022-12-13,1.28,2.73
242,Washington Capitals,Columbus Blue Jackets,6,2,2023-01-05,1.56,2.73
243,Ottawa Senators,Columbus Blue Jackets,4,0,2023-01-03,1.12,2.73
244,Boston Bruins,Columbus Blue Jackets,4,0,2022-10-28,2.80,2.73
245,Colorado Avalanche,Columbus Blue Jackets,5,1,2022-11-05,1.64,2.73
246,Carolina Hurricanes,Columbus Blue Jackets,6,2,2023-01-12,1.95,2.73
247,New York Rangers,Carolina Hurricanes,5,3,2023-01-03,-0.15,2.69
248,New Jersey Devils,Carolina Hurricanes,5,3,2023-01-10,0.14,2.69
249,Edmonton Oilers,Carolina Hurricanes,6,4,2022-10-20,-0.25,2.69
250,Toronto Maple Leafs,Carolina Hurricanes,3,1,2022-11-06,0.06,2.69
251,Nashville Predators,Carolina Hurricanes,5,3,2023-01-05,-0.81,2.69
252,Edmonton Oilers,Tampa Bay Lightning,5,3,2023-01-19,-0.24,2.68
253,New York Rangers,Tampa Bay Lightning,3,1,2022-10-11,-0.14,2.68
254,Los Angeles Kings,Tampa Bay Lightning,4,2,2022-10-25,-0.84,2.68
255,Winnipeg Jets,Tampa Bay Lightning,4,2,2023-01-06,-0.21,2.68
256,Boston Bruins,Tampa Bay Lightning,5,3,2022-11-21,0.85,2.68
257,Boston Bruins,Tampa Bay Lightning,3,1,2022-11-29,0.85,2.68
258,Detroit Red Wings,Tampa Bay Lightning,4,2,2022-12-06,-1.03,2.68
259,Toronto Maple Leafs,Detroit Red Wings,4,1,2023-01-07,1.09,2.65
260,Vegas Golden Knights,Detroit Red Wings,4,1,2022-12-03,0.53,2.65
261,Buffalo Sabres,Detroit Red Wings,6,3,2022-12-29,0.73,2.65
262,Ottawa Senators,Detroit Red Wings,6,3,2022-12-17,0.21,2.65
263,Colorado Avalanche,Detroit Red Wings,6,3,2023-01-16,0.73,2.65
264,Minnesota Wild,Detroit Red Wings,4,1,2022-12-14,0.55,2.65
265,Boston Bruins,Philadelphia Flyers,4,1,2022-11-17,1.89,2.64
266,Washington Capitals,Philadelphia Flyers,4,1,2022-12-07,0.65,2.64
267,Calgary Flames,Philadelphia Flyers,5,2,2022-11-21,0.44,2.64
268,Toronto Maple Leafs,Philadelphia Flyers,5,2,2022-11-02,1.10,2.64
269,Pittsburgh Penguins,Philadelphia Flyers,4,1,2022-11-25,0.60,2.64
270,New York Rangers,Philadelphia Flyers,6,3,2022-12-17,0.89,2.64
271,Chicago Blackhawks,Philadelphia Flyers,4,1,2023-01-19,-0.81,2.64
272,San Jose Sharks,Philadelphia Flyers,3,0,2022-10-23,-0.47,2.64
273,Tampa Bay Lightning,Philadelphia Flyers,4,1,2022-12-01,1.04,2.64
274,Columbus Blue Jackets,Philadelphia Flyers,5,2,2022-11-10,-0.91,2.64
275,Ottawa Senators,Philadelphia Flyers,4,1,2022-11-12,0.21,2.64
276,New York Islanders,Philadelphia Flyers,5,2,2022-11-26,0.45,2.64
277,New Jersey Devils,New York Rangers,5,3,2022-11-28,0.29,2.54
278,Boston Bruins,New York Rangers,3,1,2023-01-19,0.99,2.54
279,Vegas Golden Knights,Boston Bruins,4,3,2022-12-05,-1.35,2.53
280,Ottawa Senators,Boston Bruins,3,2,2022-12-27,-1.68,2.53
281,Toronto Maple Leafs,Boston Bruins,2,1,2022-11-05,-0.79,2.53
282,Florida Panthers,Boston Bruins,4,3,2023-01-28,-1.52,2.53
283,Los Angeles Kings,Boston Bruins,3,2,2022-12-15,-1.69,2.53
284,Arizona Coyotes,Boston Bruins,4,3,2022-12-09,-2.42,2.53
285,Tampa Bay Lightning,Boston Bruins,3,2,2023-01-26,-0.85,2.53
286,Buffalo Sabres,Boston Bruins,4,3,2022-12-31,-1.15,2.53
287,Montréal Canadiens,Seattle Kraken,4,2,2022-12-06,-1.57,2.51
288,Detroit Red Wings,Winnipeg Jets,7,5,2023-01-10,-0.82,2.47
289,Winnipeg Jets,Vancouver Canucks,7,4,2023-01-08,1.00,2.47
290,Boston Bruins,Vancouver Canucks,5,2,2022-11-13,2.06,2.47
291,Colorado Avalanche,Vancouver Canucks,4,1,2023-01-20,0.90,2.47
292,Montréal Canadiens,Vancouver Canucks,5,2,2022-11-09,-0.53,2.47
293,New Jersey Devils,Vancouver Canucks,5,2,2022-11-01,1.36,2.47
294,Tampa Bay Lightning,Vancouver Canucks,5,2,2023-01-18,1.21,2.47
295,Minnesota Wild,Vancouver Canucks,3,0,2022-12-10,0.72,2.47
296,Dallas Stars,St. Louis Blues,4,1,2022-11-28,1.30,2.46
297,Tampa Bay Lightning,St. Louis Blues,5,2,2022-11-25,1.22,2.46
298,St. Louis Blues,Anaheim Ducks,6,2,2022-11-19,1.00,2.46
299,Vegas Golden Knights,Anaheim Ducks,4,0,2022-10-28,1.72,2.46
300,New Jersey Devils,Anaheim Ducks,6,2,2023-01-13,2.37,2.46
301,Ottawa Senators,Anaheim Ducks,5,1,2022-11-25,1.40,2.46
302,Montréal Canadiens,St. Louis Blues,7,4,2022-10-29,-0.52,2.46
303,Detroit Red Wings,Anaheim Ducks,5,1,2022-10-23,1.19,2.46
304,Calgary Flames,St. Louis Blues,4,1,2023-01-12,0.63,2.46
305,Seattle Kraken,St. Louis Blues,5,2,2022-12-20,1.06,2.46
306,Winnipeg Jets,St. Louis Blues,5,2,2022-12-08,1.02,2.46
307,New York Islanders,St. Louis Blues,5,2,2022-11-03,0.64,2.46
308,Edmonton Oilers,Anaheim Ducks,6,2,2023-01-11,1.98,2.46
309,Minnesota Wild,St. Louis Blues,5,2,2022-12-31,0.74,2.46
310,Los Angeles Kings,Edmonton Oilers,3,1,2022-11-16,-0.60,2.44
311,St. Louis Blues,Edmonton Oilers,2,0,2022-10-22,-0.98,2.44
312,Buffalo Sabres,Edmonton Oilers,4,2,2022-10-18,-0.06,2.44
313,Minnesota Wild,Edmonton Oilers,5,3,2022-12-01,-0.24,2.44
314,Pittsburgh Penguins,Buffalo Sabres,3,1,2022-12-10,-0.13,2.37
315,Philadelphia Flyers,Colorado Avalanche,5,3,2022-12-05,-0.73,2.37
316,Vancouver Canucks,Colorado Avalanche,4,2,2023-01-05,-0.90,2.37
317,New Jersey Devils,Buffalo Sabres,3,1,2022-11-25,0.45,2.37
318,Ottawa Senators,Buffalo Sabres,3,1,2023-01-01,-0.52,2.37
319,Winnipeg Jets,Buffalo Sabres,4,2,2023-01-12,0.10,2.37
320,Calgary Flames,Colorado Avalanche,5,3,2022-10-13,-0.29,2.37
321,Carolina Hurricanes,Buffalo Sabres,5,3,2022-11-04,0.31,2.37
322,Anaheim Ducks,Colorado Avalanche,5,3,2023-01-26,-1.92,2.37
323,Buffalo Sabres,Colorado Avalanche,4,2,2022-12-15,0.00,2.37
324,Colorado Avalanche,Buffalo Sabres,6,4,2022-12-01,-0.00,2.37
325,Boston Bruins,Buffalo Sabres,3,1,2022-11-12,1.15,2.37
326,Tampa Bay Lightning,Buffalo Sabres,5,3,2022-11-05,0.30,2.37
327,Dallas Stars,Washington Capitals,2,0,2022-10-27,0.47,2.29
328,Detroit Red Wings,Washington Capitals,3,1,2022-11-03,-0.64,2.29
329,Philadelphia Flyers,Washington Capitals,5,3,2023-01-11,-0.65,2.29
330,Minnesota Wild,Washington Capitals,4,2,2023-01-17,-0.10,2.29
331,Philadelphia Flyers,Washington Capitals,3,1,2023-01-14,-0.65,2.29
332,Seattle Kraken,Pittsburgh Penguins,3,1,2022-10-29,0.27,2.24
333,New Jersey Devils,Pittsburgh Penguins,4,2,2022-12-30,0.58,2.24
334,San Jose Sharks,Pittsburgh Penguins,6,4,2023-01-28,-1.07,2.24
335,Tampa Bay Lightning,Minnesota Wild,4,2,2023-01-24,0.49,2.19
336,Calgary Flames,Minnesota Wild,5,3,2022-12-07,-0.11,2.19
337,Pittsburgh Penguins,Minnesota Wild,6,4,2022-11-17,0.05,2.19
338,Florida Panthers,Minnesota Wild,5,3,2023-01-21,-0.18,2.19
339,Dallas Stars,San Jose Sharks,5,2,2022-12-31,1.58,2.18
340,New York Islanders,San Jose Sharks,5,2,2022-10-18,0.92,2.18
341,Nashville Predators,San Jose Sharks,4,1,2022-10-07,0.70,2.18
342,Seattle Kraken,San Jose Sharks,8,5,2022-11-23,1.34,2.18
343,Buffalo Sabres,San Jose Sharks,6,3,2022-12-04,1.20,2.18
344,Ottawa Senators,San Jose Sharks,5,2,2022-12-03,0.68,2.18
