,Team,Opponent,GF,GA,Date,xGD,Performance
1,Colorado Avalanche,Ottawa Senators,7,0,2023-01-14,0.52,6.85
2,Washington Capitals,Montréal Canadiens,9,2,2022-12-31,1.35,5.94
3,Buffalo Sabres,Los Angeles Kings,6,0,2022-12-13,0.54,5.84
4,New York Rangers,Detroit Red Wings,8,2,2022-11-10,0.89,5.65
5,Boston Bruins,Philadelphia Flyers,6,0,2023-01-16,1.89,5.64
6,Edmonton Oilers,Seattle Kraken,7,2,2022-12-30,-0.08,5.51
7,Minnesota Wild,Winnipeg Jets,6,1,2022-11-23,-0.28,5.47
8,Toronto Maple Leafs,Anaheim Ducks,7,0,2022-12-13,2.29,5.46
9,Carolina Hurricanes,Edmonton Oilers,7,2,2022-11-10,0.25,5.44
10,Winnipeg Jets,Colorado Avalanche,5,0,2022-11-29,0.10,5.37
11,Edmonton Oilers,San Jose Sharks,7,1,2023-01-13,1.26,5.18
12,Edmonton Oilers,Arizona Coyotes,8,2,2022-12-07,1.33,5.11
13,Toronto Maple Leafs,Los Angeles Kings,5,0,2022-12-08,0.90,4.84
14,Pittsburgh Penguins,Los Angeles Kings,6,1,2022-10-20,0.40,4.84
15,New York Rangers,Chicago Blackhawks,7,1,2022-12-18,1.70,4.83
16,Toronto Maple Leafs,Dallas Stars,4,0,2022-12-06,-0.01,4.76
17,Winnipeg Jets,Dallas Stars,5,1,2022-11-08,-0.28,4.76
18,Ottawa Senators,Toronto Maple Leafs,6,2,2023-01-27,-0.89,4.74
19,Seattle Kraken,Toronto Maple Leafs,5,1,2023-01-05,-0.23,4.74
20,New Jersey Devils,Columbus Blue Jackets,7,1,2022-10-30,2.09,4.73
21,Arizona Coyotes,Carolina Hurricanes,4,0,2022-11-23,-1.57,4.69
22,New York Islanders,Carolina Hurricanes,6,2,2022-10-28,-0.59,4.69
23,Washington Capitals,Tampa Bay Lightning,5,1,2022-11-11,-0.39,4.68
24,Minnesota Wild,Tampa Bay Lightning,5,1,2023-01-04,-0.49,4.68
25,Pittsburgh Penguins,Tampa Bay Lightning,6,2,2022-10-15,-0.44,4.68
26,Buffalo Sabres,Detroit Red Wings,8,3,2022-10-31,0.73,4.65
27,Washington Capitals,New York Rangers,4,0,2022-12-27,-0.25,4.54
28,Columbus Blue Jackets,New York Rangers,5,1,2022-10-23,-1.80,4.54
29,Florida Panthers,Boston Bruins,5,2,2022-11-23,-1.52,4.53
30,Seattle Kraken,Boston Bruins,3,0,2023-01-12,-1.01,4.53
31,Carolina Hurricanes,Boston Bruins,4,1,2023-01-29,-0.84,4.53
32,Tampa Bay Lightning,Seattle Kraken,6,2,2022-12-13,0.16,4.51
33,Carolina Hurricanes,Seattle Kraken,5,1,2022-10-17,0.17,4.51
34,Florida Panthers,Seattle Kraken,5,1,2022-12-03,-0.51,4.51
35,Seattle Kraken,Vancouver Canucks,6,1,2023-01-25,1.05,4.47
36,Philadelphia Flyers,Winnipeg Jets,4,0,2023-01-28,-0.83,4.47
37,Arizona Coyotes,St. Louis Blues,5,0,2023-01-26,-0.34,4.46
38,New York Islanders,Anaheim Ducks,7,1,2022-10-15,1.64,4.46
39,Boston Bruins,Anaheim Ducks,7,1,2023-01-08,3.07,4.46
40,Dallas Stars,Edmonton Oilers,6,2,2022-11-05,0.32,4.44
41,Boston Bruins,Colorado Avalanche,5,1,2022-12-03,1.16,4.37
42,Philadelphia Flyers,Buffalo Sabres,4,0,2023-01-09,-0.73,4.37
43,Seattle Kraken,Buffalo Sabres,5,1,2022-10-25,0.14,4.37
44,Toronto Maple Leafs,Colorado Avalanche,6,2,2022-12-31,0.37,4.37
45,Boston Bruins,Colorado Avalanche,4,0,2022-12-07,1.16,4.37
46,New Jersey Devils,Washington Capitals,5,1,2022-11-26,0.54,4.29
47,Toronto Maple Leafs,Washington Capitals,5,1,2023-01-29,0.45,4.29
48,Vegas Golden Knights,Washington Capitals,6,2,2023-01-21,-0.11,4.29
49,Colorado Avalanche,Washington Capitals,4,0,2022-11-19,0.08,4.29
50,Vancouver Canucks,Pittsburgh Penguins,5,1,2022-10-28,-0.77,4.24
51,New York Islanders,Pittsburgh Penguins,5,1,2022-12-27,-0.15,4.24
52,Seattle Kraken,Minnesota Wild,4,0,2022-11-03,0.32,4.19
53,New York Rangers,Minnesota Wild,7,3,2022-10-13,0.34,4.19
54,Dallas Stars,Vegas Golden Knights,4,0,2023-01-16,0.58,4.18
55,Los Angeles Kings,Vegas Golden Knights,5,1,2023-01-07,-0.34,4.18
56,New York Rangers,Vegas Golden Knights,5,1,2022-12-07,0.36,4.18
57,Vancouver Canucks,Vegas Golden Knights,5,1,2022-11-26,-0.71,4.18
58,Dallas Stars,Arizona Coyotes,7,2,2022-11-03,1.64,4.11
59,Chicago Blackhawks,Calgary Flames,5,1,2023-01-26,-1.25,4.09
60,Calgary Flames,Florida Panthers,6,2,2022-11-29,0.08,4.01
61,Dallas Stars,Florida Panthers,5,1,2023-01-08,0.75,4.01
62,Carolina Hurricanes,Florida Panthers,4,0,2022-12-30,0.68,4.01
63,New York Rangers,Florida Panthers,6,2,2023-01-23,0.53,4.01
64,New York Islanders,Florida Panthers,5,1,2022-12-23,0.09,4.01
65,Boston Bruins,Florida Panthers,7,3,2022-12-19,1.52,4.01
66,Florida Panthers,Montréal Canadiens,7,2,2022-12-29,1.07,3.94
67,Buffalo Sabres,Montréal Canadiens,7,2,2022-11-22,1.43,3.94
68,Ottawa Senators,Montréal Canadiens,5,0,2023-01-28,0.91,3.94
69,Seattle Kraken,Nashville Predators,5,1,2022-11-08,0.64,3.87
70,Dallas Stars,Nashville Predators,5,1,2022-10-15,0.88,3.87
71,Winnipeg Jets,Ottawa Senators,5,1,2023-01-21,0.62,3.85
72,New Jersey Devils,Ottawa Senators,5,1,2022-11-19,0.97,3.85
73,Seattle Kraken,Ottawa Senators,8,4,2023-01-07,0.66,3.85
74,Winnipeg Jets,Ottawa Senators,5,1,2022-12-20,0.62,3.85
75,San Jose Sharks,Ottawa Senators,5,1,2022-11-21,-0.68,3.85
76,Dallas Stars,Los Angeles Kings,4,0,2023-01-19,0.92,3.84
77,Philadelphia Flyers,New Jersey Devils,5,2,2022-10-13,-1.18,3.83
78,Dallas Stars,New Jersey Devils,4,1,2022-12-13,-0.07,3.83
79,Boston Bruins,Chicago Blackhawks,6,1,2022-11-19,2.70,3.83
80,Winnipeg Jets,Chicago Blackhawks,7,2,2022-11-27,1.64,3.83
81,Carolina Hurricanes,New Jersey Devils,4,1,2022-12-20,-0.14,3.83
82,Detroit Red Wings,New Jersey Devils,5,2,2022-10-15,-1.18,3.83
83,Washington Capitals,New Jersey Devils,6,3,2022-10-24,-0.54,3.83
84,Edmonton Oilers,Dallas Stars,6,3,2022-12-21,-0.32,3.76
85,Colorado Avalanche,Dallas Stars,4,1,2022-11-26,-0.38,3.76
86,New York Rangers,Dallas Stars,6,3,2022-10-29,-0.22,3.76
87,Washington Capitals,Toronto Maple Leafs,5,2,2022-12-17,-0.45,3.74
88,Detroit Red Wings,Toronto Maple Leafs,4,1,2023-01-12,-1.09,3.74
89,Arizona Coyotes,Toronto Maple Leafs,6,3,2022-12-29,-1.63,3.74
90,Buffalo Sabres,Columbus Blue Jackets,9,4,2022-12-07,1.64,3.73
91,Detroit Red Wings,Columbus Blue Jackets,6,1,2022-11-19,0.92,3.73
92,Colorado Avalanche,Carolina Hurricanes,4,1,2022-11-12,-0.31,3.69
93,Florida Panthers,Carolina Hurricanes,3,0,2022-11-09,-0.68,3.69
94,Calgary Flames,Tampa Bay Lightning,6,3,2023-01-21,-0.59,3.68
95,Toronto Maple Leafs,Tampa Bay Lightning,4,1,2022-12-20,0.06,3.68
96,Detroit Red Wings,Tampa Bay Lightning,7,4,2022-12-21,-1.03,3.68
97,Florida Panthers,Detroit Red Wings,5,1,2022-12-08,0.36,3.65
98,Boston Bruins,Detroit Red Wings,5,1,2022-10-27,1.88,3.65
99,New Jersey Devils,Detroit Red Wings,6,2,2022-10-25,1.18,3.65
100,New Jersey Devils,Detroit Red Wings,5,1,2023-01-04,1.18,3.65
101,Dallas Stars,Philadelphia Flyers,5,1,2022-11-13,1.11,3.64
102,Toronto Maple Leafs,Philadelphia Flyers,6,2,2023-01-08,1.10,3.64
103,New York Islanders,New York Rangers,3,0,2022-10-26,-0.44,3.54
104,Winnipeg Jets,New York Rangers,4,1,2022-10-14,-0.06,3.54
105,Boston Bruins,New York Rangers,5,2,2022-11-03,0.99,3.54
106,Chicago Blackhawks,New York Rangers,5,2,2022-12-03,-1.70,3.54
107,Ottawa Senators,Boston Bruins,7,5,2022-10-18,-1.68,3.53
108,Vegas Golden Knights,Seattle Kraken,5,2,2022-10-15,-0.33,3.51
109,Calgary Flames,Seattle Kraken,5,2,2023-01-27,-0.43,3.51
110,Edmonton Oilers,Seattle Kraken,5,2,2023-01-17,-0.08,3.51
111,Washington Capitals,Seattle Kraken,4,1,2022-12-09,-0.23,3.51
112,Tampa Bay Lightning,Seattle Kraken,4,1,2023-01-16,0.16,3.51
113,Washington Capitals,Vancouver Canucks,5,1,2022-11-29,0.82,3.47
114,Toronto Maple Leafs,Winnipeg Jets,4,1,2023-01-19,0.27,3.47
115,Buffalo Sabres,Vancouver Canucks,5,1,2022-10-22,0.91,3.47
116,Winnipeg Jets,Vancouver Canucks,5,1,2022-12-17,1.00,3.47
117,Vegas Golden Knights,Winnipeg Jets,5,2,2022-10-20,-0.29,3.47
