,GameID,Game State,Home Team,Home Goals,Away Goals,Away Team,Pre-Game Home Win Probability,Pre-Game Away Win Probability,Home Record,Away Record
1,2022020805,Pre-Game,Buffalo Sabres,0,0,Carolina Hurricanes,44.80%,55.20%,26-19-4,33-9-8
2,2022020806,Pre-Game,Toronto Maple Leafs,0,0,Boston Bruins,37.07%,62.93%,31-12-8,38-7-5
